input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence,validation_verdict,validation_reason_codes
American Federal Bank,Fargo,ND,637170,AMERICAN FEDERAL BANK,FSB,FARGO,ND,active,100.0,100.0,"state,city",strong,accept,composite_capped
Miami University Community Federal Credit Union,Oxford,OH,912783,MIAMI UNIVERSITY COMMUNITY FEDERAL CREDIT UNION,FCU,OXFORD,OH,active,100.0,100.0,"state,city",strong,accept,composite_capped
East Idaho Credit Union,Idaho Falls,ID,223377,COTTONWOOD COMMUNITY FEDERAL CREDIT UNION,FCU,COTTONWOOD,ID,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Credit Union Of Colorado,Denver,CO,379386,COLORADO CREDIT UNION,SCU,LITTLETON,CO,active,100.0,95.0,state,strong,accept,"city_mismatch,composite_capped"
Central State Bank,Calera,IA,678744,CENTRAL STATE BANK,SMB,CORALVILLE,IA,active,100.0,100.0,"state,city",strong,accept,"city_mismatch,composite_capped"
Ephrata National Bank,Ephrata,PA,425911,EPHRATA NATIONAL BANK,NAT,EPHRATA,PA,active,100.0,100.0,"state,city",strong,accept,composite_capped
"Midstates Bank, Na",Council Bluffs,IA,952846,BANK,SMB,WAPELLO,IA,active,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
Del-One Federal Credit Union,dover,DE,186780,DEL-ONE FEDERAL CREDIT UNION,FCU,DOVER,DE,active,100.0,100.0,"state,city",strong,accept,composite_capped
First State Bank,Mendota,TX,719964,FIRST STATE BANK,NMB,PAINT ROCK,TX,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Merchants Bank,Winona,MN,779351,"MERCHANTS BANK, NATIONAL ASSOCIATION",NAT,WINONA,MN,active,100.0,90.0,"state,city",strong,accept,composite_capped
American Heritage Bank,Sapulpa,OK,311050,AMERICAN HERITAGE BANK,SMB,SAPULPA,OK,active,100.0,100.0,"state,city",strong,accept,composite_capped
Hometrust Bank,Asheville,NC,212577,HOMETRUST BANK,SMB,ASHEVILLE,NC,active,100.0,100.0,"state,city",strong,accept,composite_capped
Schoolsfirst Federal Credit Union,Tustin,CA,937898,SCHOOLSFIRST FEDERAL CREDIT UNION,FCU,TUSTIN,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Anchor Bank,Palm Beach Gardens,IL,1205222,"ANCHOR BANCORPORATION, INC.",BHC,ANCHOR,IL,active,100.0,85.7,"state,city",strong,review,"moderate_name_score,city_mismatch,composite_capped"
Far East National Bank,Los Angeles,CA,289869,FIRST NATIONAL BANK,NAT,WILLOWS,CA,closed,100.0,87.8,"state,city",strong,review,"moderate_name_score,city_mismatch,composite_capped"
1st Source Bank,South Bend,IN,991340,1ST SOURCE BANK,SMB,SOUTH BEND,IN,active,100.0,100.0,"state,city",strong,accept,composite_capped
Amplify Credit Union,Austin,TX,583286,AMPLIFY CREDIT UNION,SCU,AUSTIN,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
State Department Federal Credit Union,Alexandria,VA,730772,STATE DEPARTMENT FEDERAL CREDIT UNION,FCU,ALEXANDRIA,VA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Farmington Bank,Farmington,CT,407506,ION BANK,SMB,NAUGATUCK,CT,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Security Service Federal Credit Union,San Antonio,TX,666581,SECURITY SERVICE FEDERAL CREDIT UNION,FCU,SAN ANTONIO,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Central National Bank,Junction City,OK,830355,FIRST NATIONAL BANK & TRUST COMPANY OF MCALESTER,NAT,MCALESTER,OK,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Tri Counties Bank,Chico,CO,106452,PB&T BANK,NMB,PUEBLO,CO,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Sidney Federal Credit Union,walton,NY,508177,SIDNEY FEDERAL CREDIT UNION,FCU,SIDNEY,NY,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Spokane Teachers Credit Union,Liberty Lake,WA,678892,SPOKANE TEACHERS CREDIT UNION,SCU,LIBERTY LAKE,WA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Pawtucket Credit Union,Pawtucket,RI,231297,CRANSTON MUNICIPAL EMPLOYEES CREDIT UNION,SCU,CRANSTON,RI,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Bank Of Bird In Hand,Bird In Hand,PA,4536084,BANK OF BIRD-IN-HAND,NMB,BIRD IN HAND,PA,active,100.0,90.0,"state,city",strong,accept,composite_capped
Sharonview Federal Credit Union,greer,SC,942584,SHARONVIEW FEDERAL CREDIT UNION,FCU,INDIAN LAND,SC,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
The Ohio Educational Credit Union,Seven Hills,OH,135292,"OHIO EDUCATIONAL CREDIT UNION, INC., THE",SCU,SEVEN HILLS,OH,active,100.0,85.9,"state,city",strong,review,"moderate_name_score,composite_capped"
Home Federal Savings Bank,Rochester,MD,359472,HOMEWOOD FEDERAL SAVINGS BANK,FSB,BALTIMORE,MD,active,100.0,92.6,state,strong,accept,"city_mismatch,composite_capped"
Peoples National Bank,Winters,VA,137924,PEOPLES NATIONAL BANK,NAT,GLOUCESTER,VA,closed,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
First Utah Bank,Salt Lake City,UT,207872,FIRST UTAH BANK,NMB,SALT LAKE CITY,UT,active,100.0,100.0,"state,city",strong,accept,composite_capped
American National Bank Of Texas,Terrell,TX,544063,AMERICAN NATIONAL BANK,NAT,TYLER,TX,closed,100.0,95.0,"state,city",strong,accept,"city_mismatch,composite_capped"
Americu Credit Union,Rome,NY,12281,AMERICU CREDIT UNION,SCU,ROME,NY,active,100.0,100.0,"state,city",strong,accept,composite_capped
First Arkansas Bank And Trust,Jacksonville,AR,466240,FIRST ARKANSAS BANK AND TRUST,NMB,JACKSONVILLE,AR,active,100.0,100.0,"state,city",strong,accept,composite_capped
Metropolitan Commercial Bank (New York),New York,NY,2705895,METROPOLITAN COMMERCIAL BANK,SMB,NEW YORK,NY,active,100.0,95.0,"state,city",strong,accept,composite_capped
The First National Bank And Trust Company Of Newtown,Miami,WI,12647,"PORTAGE COUNTY BANK, THE",NMB,ALMOND,WI,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Fremont Bank,Fremont,CA,739560,FREMONT BANK,NMB,FREMONT,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Valley Credit Union,Salem,AL,358998,VALLEY CREDIT UNION,SCU,TUSCUMBIA,AL,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Tongass Federal Credit Union,Ketchikan,AK,400084,TONGASS FEDERAL CREDIT UNION,FCU,KETCHIKAN,AK,active,100.0,100.0,"state,city",strong,accept,composite_capped
Greater Nevada Credit Union,Carson City,NV,230973,GREATER NEVADA CREDIT UNION,SCU,CARSON CITY,NV,active,100.0,100.0,"state,city",strong,accept,composite_capped
Centra Credit Union,Columbus,IN,461674,CENTRA CREDIT UNION,SCU,COLUMBUS,IN,active,100.0,100.0,"state,city",strong,accept,composite_capped
"Chain Bridge Bank, N.A.",McLean,VA,3597211,"CHAIN BRIDGE BANK, NATIONAL ASSOCIATION",NAT,MC LEAN,VA,active,100.0,85.9,"state,city",strong,review,"moderate_name_score,city_mismatch,composite_capped"
Stockman Bank Of Montana,Miles City,MT,651859,STOCKMAN BANK OF MONTANA,NMB,MILES CITY,MT,active,100.0,100.0,"state,city",strong,accept,composite_capped
East Texas Professional Credit Union,Longview,TX,693895,EAST TEXAS PROFESSIONAL CREDIT UNION,SCU,LONGVIEW,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Honolulu Federal Credit Union,Honolulu,HI,275778,HONOLULU FEDERAL CREDIT UNION,FCU,HONOLULU,HI,active,100.0,100.0,"state,city",strong,accept,composite_capped
First Farmbank,Greeley,CO,3411773,FIRST FARMBANK,NMB,GREELEY,CO,active,100.0,100.0,"state,city",strong,accept,composite_capped
International Bank of Commerce,Laredo,OK,5050028,INTERNATIONAL BANK OF COMMERCE,NMB,OKLAHOMA CITY,OK,active,100.0,100.0,"state,city",strong,accept,"city_mismatch,composite_capped"
Summit Bank Limited,Eugene,OR,3243282,SUMMIT BANK,NMB,EUGENE,OR,active,100.0,90.0,"state,city",strong,accept,composite_capped
Use Credit Union,San Diego,IL,280192,SIUE CREDIT UNION,SCU,EDWARDSVILLE,IL,active,100.0,90.9,state,strong,accept,"city_mismatch,composite_capped"
Veridian Credit Union,Waterloo,IA,416197,VERIDIAN CREDIT UNION,SCU,WATERLOO,IA,active,100.0,100.0,"state,city",strong,accept,composite_capped
University Of Kentucky Federal Credit Union,lexington,KY,153997,UNIVERSITY OF KENTUCKY FEDERAL CREDIT UNION,FCU,LEXINGTON,KY,active,100.0,100.0,"state,city",strong,accept,composite_capped
Capital Credit Union,Edinburgh,ND,137399,CAPITAL CREDIT UNION,SCU,BISMARCK,ND,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Bristol County Savings Bank,Taunton,MA,13103,BRISTOL COUNTY SAVINGS BANK,NMB,TAUNTON,MA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Bank Of Prairie Du Sac,Prairie Du Sac,WI,997847,BANK OF PRAIRIE DU SAC,NMB,PRAIRIE DU SAC,WI,active,100.0,100.0,"state,city",strong,accept,composite_capped
La Capitol Federal Credit Union,baton rouge,LA,23184,LA CAPITOL FEDERAL CREDIT UNION,FCU,BATON ROUGE,LA,active,100.0,100.0,"state,city",strong,accept,composite_capped
City Bank,Lubbock,MO,2003069,"MARK TWAIN KANSAS CITY BANK COMMUNITY DEVELOPMENT CORPORATION, INC.",DEO,SAINT LOUIS,MO,closed,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
Bank Of Ann Arbor,Ann Arbor,MI,2390929,BANK OF ANN ARBOR,NMB,ANN ARBOR,MI,active,100.0,100.0,"state,city",strong,accept,composite_capped
Carolinas Telco Federal Credit Union,Charlotte,NC,1016987,CAROLINAS TELCO FEDERAL CREDIT UNION,FCU,CHARLOTTE,NC,active,100.0,100.0,"state,city",strong,accept,composite_capped
The American National Bank Of Texas,Terrell,TX,599764,"AMERICAN NATIONAL BANK OF TEXAS, THE",NAT,TERRELL,TX,active,100.0,93.7,"state,city",strong,accept,composite_capped
Dubuque Bank & Trust,Dubuque,IA,952846,BANK,SMB,WAPELLO,IA,active,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
Ventura County Credit Union,Ventura,CA,987286,VENTURA COUNTY CREDIT UNION,SCU,VENTURA,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Severn Savings Bank,annapolis,MD,613978,JARRETTSVILLE FEDERAL SAVINGS AND LOAN ASSOCIATION,CSA,JARRETTSVILLE,MD,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Enterprise Bank,Allison Park,PA,2730431,ENTERPRISE BANK,NMB,ALLISON PARK,PA,active,100.0,100.0,"state,city",strong,accept,composite_capped
First Bankers Trust Company,Quincy,IL,344647,"FIRST BANKERS TRUST COMPANY, NATIONAL ASSOCIATION",NAT,QUINCY,IL,active,100.0,90.0,"state,city",strong,accept,composite_capped
Texans Credit Union,Richardson,TX,244792,TEXANS CREDIT UNION,SCU,RICHARDSON,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Andrews Federal Credit Union,Suitland,MD,574275,ANDREWS FEDERAL CREDIT UNION,FCU,SUITLAND,MD,active,100.0,100.0,"state,city",strong,accept,composite_capped
Multi-Bank Securities,Southfield,MI,5950687,"MULTI-BANK SECURITIES, INC.",DEO,SOUTHFIELD,MI,active,100.0,87.5,"state,city",strong,review,"moderate_name_score,composite_capped"
Bellco Credit Union,Greenwood Village,CO,283698,BELLCO CREDIT UNION,SCU,GREENWOOD VILLAGE,CO,active,100.0,100.0,"state,city",strong,accept,composite_capped
American Trust & Savings Bank,Dubuque,IN,814748,"AMERICAN TRUST & SAVINGS BANK OF WHITING, INDIANA",NMB,WHITING,IN,closed,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
Communityamerica Credit Union,Lenexa,KS,524494,COMMUNITYAMERICA FEDERAL CREDIT UNION,FCU,LENEXA,KS,active,100.0,95.0,"state,city",strong,accept,composite_capped
The Bancorp Bank,Wilmington,DE,6126108,M&T BANK RV TRUST 2026-1,DEO,WILMINGTON,DE,active,100.0,85.5,"state,city",strong,review,"moderate_name_score,composite_capped"
"Verve, A Credit Union",Oshkosh,WI,607799,VERVE A CREDIT UNION,SCU,OSHKOSH,WI,active,100.0,97.6,"state,city",strong,accept,composite_capped
Federal Home Loan Bank Of Des Moines,Des Moines,IA,413543,CITIZENS STATE BANK,NMB,SHELDON,IA,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
St. Mary's Bank,Manchester,NH,832694,ST. MARY'S BANK CREDIT UNION,SCU,MANCHESTER,NH,active,100.0,90.0,"state,city",strong,accept,composite_capped
The Bank Of Missouri,Perryville,MO,330855,"BANK OF MISSOURI, THE",NMB,PERRYVILLE,MO,active,100.0,92.7,"state,city",strong,accept,composite_capped
Washington Financial Bank,Washington,PA,282075,WASHINGTON FINANCIAL BANK,SSB,WASHINGTON,PA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Orrstown Bank,Shippensburg,PA,342410,ORRSTOWN BANK,SMB,HARRISBURG,PA,active,100.0,100.0,"state,city",strong,accept,"city_mismatch,composite_capped"
Members 1St Federal Credit Union,mechanicsburg,PA,934785,MEMBERS 1ST FEDERAL CREDIT UNION,FCU,ENOLA,PA,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Boiling Springs Savings Bank,Rutherford,NJ,564678,GSL SAVINGS BANK,SSB,GUTTENBERG,NJ,active,100.0,87.1,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Woodlands National Bank,Hinckley,MN,980951,WOODLANDS NATIONAL BANK,NAT,HINCKLEY,MN,active,100.0,100.0,"state,city",strong,accept,composite_capped
Industrial And Commercial Bank Of China,Beijing,NY,1015560,"INDUSTRIAL AND COMMERCIAL BANK OF CHINA (USA), NATIONAL ASSOCIATION",NAT,NEW YORK,NY,active,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
Cross County Bank,Wynne,AR,1131611,"CROSS COUNTY BANCSHARES, INC.",BHC,WYNNE,AR,active,100.0,87.3,"state,city",strong,review,"moderate_name_score,composite_capped"
River City Bank,Sacramento,KY,641449,"CITIZENS BANK AND TRUST OF LEBANON, INC.",SMB,LEBANON,KY,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Campus Federal Credit Union,Baton Rouge,LA,877079,CAMPUS FEDERAL CREDIT UNION,FCU,BATON ROUGE,LA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Wallis State Bank,Houston,TX,551669,WALLIS STATE BANK,NMB,WALLIS,TX,closed,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Hawaii State Federal Credit Union,Honolulu,HI,249377,HAWAII STATE FEDERAL CREDIT UNION,FCU,HONOLULU,HI,active,100.0,100.0,"state,city",strong,accept,composite_capped
Broadway Bank,Chicago,IL,268734,BROADWAY BANK,NMB,CHICAGO,IL,closed,100.0,100.0,"state,city",strong,accept,composite_capped
Superior Choice Credit Union,Superior,WI,595793,SUPERIOR CHOICE CREDIT UNION,SCU,SUPERIOR,WI,active,100.0,100.0,"state,city",strong,accept,composite_capped
Community Financial Services Bank,Benton,KY,698144,COMMUNITY FINANCIAL SERVICES BANK,SMB,BENTON,KY,active,100.0,100.0,"state,city",strong,accept,composite_capped
Sequoia Federal Credit Union,Redwood City,CA,322588,SEQUOIA FEDERAL CREDIT UNION,FCU,REDWOOD CITY,CA,closed,100.0,100.0,"state,city",strong,accept,composite_capped
Volunteer Corporate Credit Union,Nashville,TN,520496,VOLUNTEER CORPORATE CREDIT UNION,SCU,NASHVILLE,TN,active,100.0,100.0,"state,city",strong,accept,composite_capped
Central Bank Illinois,Geneseo,IL,931038,CENTRAL BANK ILLINOIS,NMB,GENESEO,IL,active,100.0,100.0,"state,city",strong,accept,composite_capped
Synchrony Bank,Draper,CT,407506,ION BANK,SMB,NAUGATUCK,CT,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Wings Financial Credit Union,Apple Valley,MN,290490,WINGS FINANCIAL CREDIT UNION,SCU,APPLE VALLEY,MN,closed,100.0,100.0,"state,city",strong,accept,composite_capped
Fort Billings Federal Credit Union,Paulsboro,NJ,830579,FORT BILLINGS FEDERAL CREDIT UNION,FCU,GIBBSTOWN,NJ,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Tri City National Bank,Oak Creek,WI,242444,TRI CITY NATIONAL BANK,NAT,OAK CREEK,WI,active,100.0,100.0,"state,city",strong,accept,composite_capped
Safe Credit Union,Folsom,TX,531894,SAFE CREDIT UNION,SCU,BEAUMONT,TX,closed,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Virginia Commonwealth Bank,Kilmarnock,VA,5349218,TRUSTAR BANK,NMB,GREAT FALLS,VA,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Qualstar Credit Union,Redmond,WA,553980,QUALSTAR CREDIT UNION,SCU,BOTHELL,WA,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Fall River Five Cents Savings Bank,Fall River,MA,833404,FALL RIVER FIVE CENTS SAVINGS BANK,SMB,FALL RIVER,MA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Centerstate Bank,Winter Haven,FL,3219483,CENTERSTATE BANKS OF FLORIDA STATUTORY TRUST I,DEO,WINTER HAVEN,FL,closed,100.0,90.0,"state,city",strong,accept,composite_capped
Firstcapital Bank Of Texas,Midland,TX,596156,CAPITAL BANK,NMB,HOUSTON,TX,active,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
Rock Valley Credit Union,Loves Park,IL,39587,ROCK VALLEY CREDIT UNION,SCU,LOVES PARK,IL,active,100.0,100.0,"state,city",strong,accept,composite_capped
Atlanta Postal Credit Union,Atlanta,GA,334590,CREDIT UNION OF ATLANTA,SCU,ATLANTA,GA,active,100.0,88.4,"state,city",strong,review,"moderate_name_score,composite_capped"
Tennessee State Bank,Pigeon Forge,TN,479839,TENNESSEE STATE BANK,SMB,PIGEON FORGE,TN,active,100.0,100.0,"state,city",strong,accept,composite_capped
Autotruck Financial Credit Union,Louisville,KY,770488,AUTOTRUCK FINANCIAL CREDIT UNION,SCU,LOUISVILLE,KY,active,100.0,100.0,"state,city",strong,accept,composite_capped
The First National Bank In Sioux Falls,Sioux Falls,SD,326858,"FIRST NATIONAL BANK IN SIOUX FALLS, THE",NAT,SIOUX FALLS,SD,active,100.0,93.8,"state,city",strong,accept,composite_capped
Kinetic Credit Union,Columbus,GA,807683,KINETIC CREDIT UNION,FCU,COLUMBUS,GA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Los Angeles Police Federal Credit Union,van nuys,CA,758495,LOS ANGELES POLICE FEDERAL CREDIT UNION,FCU,VAN NUYS,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Northwest Federal Credit Union,Herndon,VA,988975,NORTHWEST FEDERAL CREDIT UNION,FCU,HERNDON,VA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Hudson Valley Federal Credit Union,poughkeepsie,NY,483180,HUDSON VALLEY FEDERAL CREDIT UNION,FCU,POUGHKEEPSIE,NY,active,100.0,100.0,"state,city",strong,accept,composite_capped
Mvb Bank,Fairmont,WV,2757205,"MVB BANK, INC.",NMB,FAIRMONT,WV,active,100.0,90.0,"state,city",strong,accept,composite_capped
Capitol Credit Union,Austin,TX,629894,CAPITOL CREDIT UNION,SCU,AUSTIN,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Salem Five Bank,salem,MA,689209,COUNTRY BANK FOR SAVINGS,SSB,WARE,MA,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Hilltop National Bank,Casper,WY,1454,HILLTOP NATIONAL BANK,NAT,CASPER,WY,active,100.0,100.0,"state,city",strong,accept,composite_capped
Prime Meridian Bank,Tallahassee,FL,3690701,PRIME MERIDIAN BANK,NMB,TALLAHASSEE,FL,closed,100.0,100.0,"state,city",strong,accept,composite_capped
Gnb Bank,Grundy Center,IA,724744,GNB BANK,SMB,GRUNDY CENTER,IA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Moody National Bank,Galveston,TX,253356,MOODY NATIONAL BANK,NAT,GALVESTON,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Omniamerican Bank,Fort Worth,TX,4131751,"OMNIAMERICAN BANCORP, INC.",SLHC,FORT WORTH,TX,closed,100.0,87.3,"state,city",strong,review,"moderate_name_score,composite_capped"
Needham Bank,Needham,MA,339773,NEEDHAM BANK,SMB,NEEDHAM,MA,active,100.0,100.0,"state,city",strong,accept,composite_capped
The Privatebank And Trust Company,Chicago,IL,513546,"FARMERS AND MERCHANTS NATIONAL BANK OF NASHVILLE, THE",NAT,NASHVILLE,IL,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Mt Mckinley Bank,Fairbanks,AK,542667,MT. MCKINLEY BANK,SSB,FAIRBANKS,AK,active,100.0,97.0,"state,city",strong,accept,composite_capped
Colorado Credit Union,Littleton,CO,379386,COLORADO CREDIT UNION,SCU,LITTLETON,CO,active,100.0,100.0,"state,city",strong,accept,composite_capped
Altier Credit Union,,AZ,934879,ALTIER CREDIT UNION,SCU,TEMPE,AZ,closed,100.0,100.0,state,strong,accept,composite_capped
Vista Bank,Bukarest,TX,88352,FIRST STATE BANK OF BEDIAS,NMB,BEDIAS,TX,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Southwest 66 Credit Union,Odessa,TX,664895,SOUTHWEST 66 CREDIT UNION,SCU,ODESSA,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Ambridge Area Federal Credit Union,baden,PA,146270,AMBRIDGE AREA FEDERAL CREDIT UNION,FCU,BADEN,PA,closed,100.0,100.0,"state,city",strong,accept,composite_capped
Farmers & Merchants Bank Of Central California,Lodi,CA,808260,FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,NMB,LODI,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Infirst Bank,Indiana,PA,904171,INFIRST BANK,SSB,INDIANA,PA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Great Plains Bank,Eureka,SD,589158,GREAT PLAINS BANK,NMB,EUREKA,SD,active,100.0,100.0,"state,city",strong,accept,composite_capped
Goldenwest Credit Union,South Ogden,UT,656694,GOLDENWEST FEDERAL CREDIT UNION,FCU,WASHINGTON TERRACE,UT,active,100.0,95.0,state,strong,accept,"city_mismatch,composite_capped"
First Westroads Bank,Omaha,NE,222754,"FIRST WESTROADS BANK, INC.",SMB,OMAHA,NE,active,100.0,87.0,"state,city",strong,review,"moderate_name_score,composite_capped"
Sunrise Banks,Saint Paul,MN,1139103,"UNIVERSITY FINANCIAL CORP, GBC DBA SUNRISE BANKS",BHC,SAINT PAUL,MN,active,100.0,90.0,"state,city",strong,accept,composite_capped
First Savings Bank,Jeffersonville,IL,771878,FIRST FEDERAL SAVINGS BANK,FSB,OTTAWA,IL,active,100.0,95.0,state,strong,accept,"city_mismatch,composite_capped"
Arizona Central Credit Union,Phoenix,AZ,766995,ARIZONA CENTRAL CREDIT UNION,SCU,PHOENIX,AZ,active,100.0,100.0,"state,city",strong,accept,composite_capped
Cornerstone Financial Credit Union,Nashville,TN,455299,CORNERSTONE FINANCIAL CREDIT UNION,SCU,NASHVILLE,TN,active,100.0,100.0,"state,city",strong,accept,composite_capped
Texasbank,Fort Worth,TX,232856,TEXASBANK,NMB,FORT WORTH,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Abacus Credit Counseling,Encino,CA,483386,FIRST TECHNOLOGY FEDERAL CREDIT UNION,FCU,SAN JOSE,CA,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Truwest Credit Union,Tempe,AZ,645894,TRUWEST CREDIT UNION,SCU,TEMPE,AZ,active,100.0,100.0,"state,city",strong,accept,composite_capped
Bank Of Stockton,Stockton,CA,479268,BANK OF STOCKTON,NMB,STOCKTON,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Central State Credit Union,Stockton,CA,82499,CENTRAL STATE CREDIT UNION,SCU,STOCKTON,CA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Collegiate Peaks Bank,Buena Vista,CO,106452,PB&T BANK,NMB,PUEBLO,CO,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
California Bank Of Commerce,Lafayette,CA,3076453,"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION",NAT,SAN DIEGO,CA,active,100.0,90.0,state,strong,accept,"city_mismatch,composite_capped"
1St Community Federal Credit Union,San Angelo,TX,328085,1ST COMMUNITY FEDERAL CREDIT UNION,FCU,SAN ANGELO,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Peoples Credit Union,Middletown,IA,181299,PEOPLES CREDIT UNION,SCU,WEBSTER CITY,IA,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Delta Community Credit Union,Atlanta,GA,112499,DELTA COMMUNITY CREDIT UNION,SCU,ATLANTA,GA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Lakeside Bank,Lake Charles,LA,4165907,LAKESIDE BANK,NMB,LAKE CHARLES,LA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Gulf Coast Federal Credit Union,Corpus Christi,AL,624086,GULF COAST FEDERAL CREDIT UNION,FCU,MOBILE,AL,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Altabank,American Fork,UT,2748995,ALTABANCORP,BHC,AMERICAN FORK,UT,closed,100.0,73.7,"state,city",strong,review,"moderate_name_score,composite_capped"
First-Lockhart National Bank,Lockhart,TX,311265,YOAKUM BANK,NMB,YOAKUM,TX,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Old Missouri Bank,Springfield,MO,400057,FIRST STATE BANK OF THE OZARKS,NMB,PURDY,MO,active,100.0,85.5,"state,city",strong,review,"moderate_name_score,city_mismatch,composite_capped"
Gulf Credit Union,Groves,TX,565899,GULF CREDIT UNION,SCU,PORT ARTHUR,TX,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
River Bank & Trust,Prattville,AL,3437157,RIVER BANK & TRUST,NMB,PRATTVILLE,AL,active,100.0,100.0,"state,city",strong,accept,composite_capped
Arkansas Federal Credit Union,jacksonville,AR,778680,ARKANSAS FEDERAL CREDIT UNION,FCU,LITTLE ROCK,AR,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Riverview Bank,Marysville,PA,757612,RIVERVIEW BANK,NMB,MARYSVILLE,PA,closed,100.0,100.0,"state,city",strong,accept,composite_capped
First Security Bank & Trust,Charles City,LA,671651,FIRST SECURITY BANK AND TRUST COMPANY,NMB,HAUGHTON,LA,closed,100.0,91.3,state,strong,accept,"city_mismatch,composite_capped"
Ameriserv Financial Bank,Johnstown,PA,928618,AMERISERV FINANCIAL BANK,SMB,JOHNSTOWN,PA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Global Credit Union,Spokane,WA,914684,GLOBAL CREDIT UNION,SCU,SPOKANE,WA,closed,100.0,100.0,"state,city",strong,accept,composite_capped
