input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence,validation_verdict,validation_reason_codes
Louchem Federal Credit Union,Louisville,KY,792583,LOUCHEM FEDERAL CREDIT UNION,FCU,LOUISVILLE,KY,closed,100.0,100.0,"state,city",strong,accept,composite_capped
Best Hometown Bank,Collinsville,IL,4974257,"BEST HOMETOWN BANCORP, INC.",SLHC,COLLINSVILLE,IL,closed,100.0,87.4,"state,city",strong,review,"moderate_name_score,composite_capped"
Delanco Federal Savings Bank,Delanco,NJ,176,ELYSIAN FEDERAL SAVINGS BANK,FSB,HOBOKEN,NJ,closed,100.0,89.3,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Pioneer Credit Limited,Perth,RI,231297,CRANSTON MUNICIPAL EMPLOYEES CREDIT UNION,SCU,CRANSTON,RI,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Credit Union Financial Services,Covington,GA,5531367,"STCC USA INSTITUTIONAL 80-20 TAX CREDIT FUND XIV, LLC",DEO,ATLANTA,GA,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Redstone Bank,Centennial,CO,3591004,REDSTONE BANK,NMB,CENTENNIAL,CO,active,100.0,100.0,"state,city",strong,accept,composite_capped
E&A Credit Union,port huron,MI,981994,E&A CREDIT UNION,SCU,PORT HURON,MI,closed,100.0,100.0,"state,city",strong,accept,composite_capped
National Bank Of Pakistan,New York,NY,601416,FIVE STAR BANK,SMB,ROCHESTER,NY,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Bank Of Sunset & Trust,Sunset,LA,910239,BANK OF SUNSET & TRUST COMPANY,NMB,SUNSET,LA,active,100.0,95.0,"state,city",strong,accept,composite_capped
Darden Employees Federal Credit Union,orlando,FL,666385,DARDEN EMPLOYEES FEDERAL CREDIT UNION,FCU,ORLANDO,FL,closed,100.0,100.0,"state,city",strong,accept,composite_capped
Union Trades Federal Credit Union,Parkersburg,WV,215288,UNION TRADES FEDERAL CREDIT UNION,FCU,PARKERSBURG,WV,active,100.0,100.0,"state,city",strong,accept,composite_capped
