input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence
NBH Bank,Greenwood Village,CO,4210227,NBH BANK,SMB,GREENWOOD VILLAGE,CO,active,100.0,100.0,"state,city",strong
The Union Bank,Columbus Grove,LA,48570,EPIC FEDERAL CREDIT UNION,FCU,METAIRIE,LA,active,100.0,85.5,state,strong
Cibm Bank,Brookfield,IL,340742,CIBM BANK,NMB,CHAMPAIGN,IL,active,100.0,100.0,state,strong
HSBC Bank,New York,NY,601416,FIVE STAR BANK,SMB,ROCHESTER,NY,active,100.0,85.5,state,strong
Wesbanco Bank,Wheeling,WV,609476,HUNTINGTON FEDERAL SAVINGS BANK,FSB,HUNTINGTON,WV,active,100.0,85.5,state,strong
Bankers Life,Chicago,IL,1235407,BANKERS LIFE AND CASUALTY COMPANY,BHC,CHICAGO,IL,closed,100.0,90.0,"state,city",strong
Peoples Bank,Marietta,OH,577128,PEOPLES BANK,SMB,MARIETTA,OH,active,100.0,100.0,"state,city",strong
Mid American Credit Union,Wichita,KS,621991,MID AMERICAN CREDIT UNION,SCU,WICHITA,KS,active,100.0,100.0,"state,city",strong
Public Service Credit Union,Fort Wayne,MI,431592,PUBLIC SERVICE CREDIT UNION,SCU,ROMULUS,MI,active,100.0,100.0,state,strong
Simmons Bank,Pine Bluff,AR,663245,SIMMONS BANK,SMB,PINE BLUFF,AR,active,100.0,100.0,"state,city",strong
Everbank,Jacksonville,FL,3838857,EVERBANK FINANCIAL CORP,FHD,JACKSONVILLE,FL,active,100.0,90.0,"state,city",strong
Eastern Bank,Los Angeles,CA,3189063,COMMERCIAL BANK OF CALIFORNIA,NMB,IRVINE,CA,active,100.0,85.5,state,strong
Central Pacific Bank,Honolulu,HI,701062,CENTRAL PACIFIC BANK,SMB,HONOLULU,HI,active,100.0,100.0,"state,city",strong
Kemba Financial Credit Union,Gahanna,OH,31291,"KEMBA FINANCIAL CREDIT UNION, INC.",SCU,GAHANNA,OH,active,100.0,90.3,"state,city",strong
Equity Bank Limited,Wichita,KS,139656,EQUITY BANK,SMB,ANDOVER,KS,active,100.0,90.0,state,strong
Ballston Spa National Bank,Ballston Spa,NY,505,BALLSTON SPA NATIONAL BANK,NAT,BALLSTON SPA,NY,active,100.0,100.0,"state,city",strong
PenFed Credit Union,Mc Lean,VA,345895,PE FEDERAL CREDIT UNION,FCU,COVINGTON,VA,closed,100.0,85.7,state,strong
Golden 1 Credit Union,sacramento,CA,711294,GOLDEN BAY FEDERAL CREDIT UNION,FCU,MOFFETT FIELD,CA,closed,100.0,90.2,state,strong
First National Bank Of America,East Lansing,MI,413141,FIRST NATIONAL BANK OF AMERICA,NAT,EAST LANSING,MI,active,100.0,100.0,"state,city",strong
Redwood Credit Union,Santa Rosa,CA,238791,REDWOOD CREDIT UNION,SCU,SANTA ROSA,CA,active,100.0,100.0,"state,city",strong
First Federal Bank,Vancouver,NC,943974,FIRST FEDERAL BANK,FSB,DUNN,NC,active,100.0,100.0,state,strong
Vw Credit,Libertyville,IL,66293,FIELDSTONE CREDIT UNION,SCU,BRADLEY,IL,active,100.0,85.5,state,strong
Hughes Federal Credit Union,Tucson,AZ,380588,HUGHES FEDERAL CREDIT UNION,FCU,TUCSON,AZ,active,100.0,100.0,"state,city",strong
Western Alliance Bank,Phoenix,AZ,3138146,WESTERN ALLIANCE BANK,SMB,PHOENIX,AZ,active,100.0,100.0,"state,city",strong
Bank Of The Sierra,Porterville,CA,662369,BANK OF THE SIERRA,NMB,PORTERVILLE,CA,active,100.0,100.0,"state,city",strong
Pacific Western Bank,Beverly Hills,CA,1028458,"PACIFIC WESTERN BANCSHARES, INC.",BHC,SAN JOSE,CA,closed,100.0,87.7,state,strong
Beal Bank,Las Vegas,NV,3284397,BEAL BANK USA,NMB,LAS VEGAS,NV,active,100.0,95.0,"state,city",strong
Medplan Credit,Tulsa,OK,124483,DIAMOND FEDERAL CREDIT UNION,FCU,TULSA,OK,active,100.0,85.5,"state,city",strong
Farmers And Merchants Bank,Axtell,NE,455552,FARMERS AND MERCHANTS BANK,NMB,MILFORD,NE,active,100.0,100.0,state,strong
Banknewport,Newport,RI,546003,BANKNEWPORT,SMB,MIDDLETOWN,RI,active,100.0,100.0,state,strong
Northwest Community Credit Union,Morton Grove,IL,389796,NORTHWEST COMMUNITY CREDIT UNION,SCU,MORTON GROVE,IL,active,100.0,100.0,"state,city",strong
BMO Harris Bank,Chicago,IL,340443,FIRST NATIONAL BANK IN PINCKNEYVILLE,NAT,PINCKNEYVILLE,IL,active,100.0,85.5,state,strong
Capstar Bank,Nashville,TN,834175,LAWRENCEBURG FEDERAL BANK,SSB,LAWRENCEBURG,TN,active,100.0,85.5,state,strong
First Farmers Bank & Trust,Converse,IN,139843,FIRST FARMERS BANK & TRUST CO.,SMB,CONVERSE,IN,active,100.0,95.0,"state,city",strong
Wright-Patt Credit Union,Beavercreek,OH,368492,"WRIGHT-PATT CREDIT UNION, INC.",SCU,BEAVERCREEK,OH,active,100.0,88.9,"state,city",strong
Liberty Federal Credit Union,Liberty,SC,470096,LIBERTY FEDERAL CREDIT UNION,FCU,TAYLORS,SC,closed,100.0,100.0,state,strong
American Momentum Bank,College Station,TX,3447576,AMERICAN MOMENTUM BANK,NMB,COLLEGE STATION,TX,active,100.0,100.0,"state,city",strong
West Community Credit Union,O Fallon,MO,680194,WEST COMMUNITY CREDIT UNION,SCU,OFALLON,MO,active,100.0,100.0,"state,city",strong
Community State Bank,Lamar,CO,3617856,COMMUNITY STATE BANK,NMB,LAMAR,CO,active,100.0,100.0,"state,city",strong
Bank Of Louisiana,New Orleans,LA,271136,BANK OF LOUISIANA,NMB,NEW ORLEANS,LA,active,100.0,100.0,"state,city",strong
Liberty Bank & Trust Co,New Orleans,IA,952846,BANK,SMB,WAPELLO,IA,active,100.0,90.0,state,strong
Banner Bank,Walla Walla,NY,175609,BANK OF MILLBROOK,SMB,MILLBROOK,NY,active,100.0,85.5,state,strong
Veros Credit,Santa Ana,CA,47489,"CREDIT UNION OF SOUTHERN CALIFORNIA, A FEDERAL CREDIT UNION",FCU,ANAHEIM,CA,active,100.0,85.5,state,strong
Interra Credit Union,Goshen,IN,923190,INTERRA CREDIT UNION,SCU,GOSHEN,IN,active,100.0,100.0,"state,city",strong
First Foundation Bank,Gig Harbor,WA,656377,WAFD BANK,NMB,SEATTLE,WA,active,100.0,85.5,state,strong
Nextier Bank,Kittanning,PA,18827,"NEXTIER BANK, NA",NAT,KITTANNING,PA,active,100.0,85.7,"state,city",strong
Credit Union 1,Rantoul,AK,418780,CREDIT UNION 1,SCU,ANCHORAGE,AK,active,100.0,100.0,state,strong
Unify Financial Credit Union,Torrance,CA,213994,UNITED FINANCIAL CREDIT UNION,SCU,WHITTIER,CA,closed,100.0,91.2,state,strong
Sound Credit Union,tacoma,WA,248473,SOUND CREDIT UNION,SCU,TACOMA,WA,active,100.0,100.0,"state,city",strong
Credito Real USA Finance,Fort Lauderdale,FL,5975345,EFO USA LLC,DEO,CORAL GABLES,FL,active,100.0,85.5,state,strong
Penn Community Bank,Doylestown,PA,328777,PENN COMMUNITY BANK,SSB,DOYLESTOWN,PA,active,100.0,100.0,"state,city",strong
Randolph Brooks Federal Credit Union,Live Oak,TX,491381,RANDOLPH-BROOKS FEDERAL CREDIT UNION,FCU,LIVE OAK,TX,active,100.0,97.2,"state,city",strong
Ion Bank,Naugatuck,CT,407506,ION BANK,SMB,NAUGATUCK,CT,active,100.0,100.0,"state,city",strong
Honor Credit Union,Berrien Sprgs,MI,89199,HONOR CREDIT UNION DBA HONOR INVESTMENT SERVICES,SCU,BERRIEN SPRINGS,MI,active,100.0,90.0,"state,city",strong
Hancock Whitney Bank,Gulfport,MS,463735,HANCOCK WHITNEY BANK,NMB,GULFPORT,MS,active,100.0,100.0,"state,city",strong
Jetstream Federal Credit Union,miami,FL,549787,JETSTREAM FEDERAL CREDIT UNION,FCU,MIAMI LAKES,FL,active,100.0,100.0,"state,city",strong
The Village Bank,Auburndale,MT,602459,"VILLAGE BANK, THE",NMB,GREAT FALLS,MT,closed,100.0,92.1,state,strong
National Credit Union Administration,Oakland,CA,47489,"CREDIT UNION OF SOUTHERN CALIFORNIA, A FEDERAL CREDIT UNION",FCU,ANAHEIM,CA,active,100.0,85.5,state,strong
Berkshire Bank,Boston,MA,837608,ROLLSTONE BANK & TRUST,FSB,FITCHBURG,MA,active,100.0,85.5,state,strong
